model,precision@10,recall@10,map@10,ndcg@10,coverage@10,novelty@10,diversity@10
collaborative,0.079,0.14839285714285713,0.05721189058956916,0.12489044434791634,0.9166666666666666,0.5545138985079429,0.6684027777777777
content,0.10350000000000001,0.1897559523809524,0.0739727064436886,0.15840486627453873,1.0,0.5761070144195477,0.5119981481481481
hybrid,0.10550000000000001,0.19317261904761904,0.07407754865835223,0.16045246438733862,0.95,0.554907636271169,0.6043138888888889
hybrid_with_rules,0.1,0.18523809523809526,0.07409451766817839,0.15673915656273793,0.8,0.5524536122211399,0.5818143518518518
popularity,0.07350000000000001,0.1375357142857143,0.04982398904006047,0.11302874205712682,0.18333333333333332,0.5379466535852312,0.6889796296296297
